"Código","Unidade Territorial","UF","Referência","Taxa de Atualização Cadastral (TAC) para cálculo do Índice de Gestão Descentralizada do Município (IGD-M)"
"120001","ACRELÂNDIA","AC","12/2020","86.73"
"120005","ASSIS BRASIL","AC","12/2020","88.52"
"120010","BRASILÉIA","AC","12/2020","83.58"
"120013","BUJARI","AC","12/2020","85.66"
"120017","CAPIXABA","AC","12/2020","87.79"
"120020","CRUZEIRO DO SUL","AC","12/2020","88.09"
"120025","EPITACIOLÂNDIA","AC","12/2020","83.38"
"120030","FEIJÓ","AC","12/2020","87.30"
"120032","JORDÃO","AC","12/2020","85.75"
"120033","MÂNCIO LIMA","AC","12/2020","82.76"
"120034","MANOEL URBANO","AC","12/2020","94.53"
"120035","MARECHAL THAUMATURGO","AC","12/2020","90.73"
"120038","PLÁCIDO DE CASTRO","AC","12/2020","82.38"
"120039","PORTO WALTER","AC","12/2020","92.23"
"120040","RIO BRANCO","AC","12/2020","85.19"
"120042","RODRIGUES ALVES","AC","12/2020","92.51"
"120043","SANTA ROSA DO PURUS","AC","12/2020","91.90"
"120045","SENADOR GUIOMARD","AC","12/2020","88.40"
"120050","SENA MADUREIRA","AC","12/2020","91.32"
"120060","TARAUACÁ","AC","12/2020","92.75"
"120070","XAPURI","AC","12/2020","88.98"
"120080","PORTO ACRE","AC","12/2020","81.96"
"270010","ÁGUA BRANCA","AL","12/2020","85.25"
"270020","ANADIA","AL","12/2020","77.30"
"270030","ARAPIRACA","AL","12/2020","80.63"
"270040","ATALAIA","AL","12/2020","78.46"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2020","78.62"
"270060","BARRA DE SÃO MIGUEL","AL","12/2020","90.43"
"270070","BATALHA","AL","12/2020","89.44"
"270080","BELÉM","AL","12/2020","81.85"
"270090","BELO MONTE","AL","12/2020","90.77"
"270100","BOCA DA MATA","AL","12/2020","81.06"
"270110","BRANQUINHA","AL","12/2020","85.25"
"270120","CACIMBINHAS","AL","12/2020","86.69"
"270130","CAJUEIRO","AL","12/2020","79.95"
"270135","CAMPESTRE","AL","12/2020","69.04"
"270140","CAMPO ALEGRE","AL","12/2020","82.86"
"270150","CAMPO GRANDE","AL","12/2020","81.49"
"270160","CANAPI","AL","12/2020","91.31"
"270170","CAPELA","AL","12/2020","80.82"
"270180","CARNEIROS","AL","12/2020","90.79"
"270190","CHÃ PRETA","AL","12/2020","85.89"
"270200","COITÉ DO NÓIA","AL","12/2020","78.61"
"270210","COLÔNIA LEOPOLDINA","AL","12/2020","82.44"
"270220","COQUEIRO SECO","AL","12/2020","86.43"
"270230","CORURIPE","AL","12/2020","76.41"
"270235","CRAÍBAS","AL","12/2020","79.90"
"270240","DELMIRO GOUVEIA","AL","12/2020","71.30"
"270250","DOIS RIACHOS","AL","12/2020","94.04"
"270255","ESTRELA DE ALAGOAS","AL","12/2020","73.20"
"270260","FEIRA GRANDE","AL","12/2020","89.54"
"270270","FELIZ DESERTO","AL","12/2020","91.60"
"270280","FLEXEIRAS","AL","12/2020","86.70"
"270290","GIRAU DO PONCIANO","AL","12/2020","80.71"
"270300","IBATEGUARA","AL","12/2020","90.97"
"270310","IGACI","AL","12/2020","84.47"
"270320","IGREJA NOVA","AL","12/2020","79.28"
"270330","INHAPI","AL","12/2020","85.36"
"270340","JACARÉ DOS HOMENS","AL","12/2020","88.08"
"270350","JACUÍPE","AL","12/2020","79.66"
"270360","JAPARATINGA","AL","12/2020","81.29"
"270370","JARAMATAIA","AL","12/2020","81.72"
"270375","JEQUIÁ DA PRAIA","AL","12/2020","91.81"
"270380","JOAQUIM GOMES","AL","12/2020","93.04"
"270390","JUNDIÁ","AL","12/2020","91.08"
"270400","JUNQUEIRO","AL","12/2020","90.68"
"270410","LAGOA DA CANOA","AL","12/2020","86.07"
"270420","LIMOEIRO DE ANADIA","AL","12/2020","85.30"
"270430","MACEIÓ","AL","12/2020","78.68"
"270440","MAJOR ISIDORO","AL","12/2020","79.68"
"270450","MARAGOGI","AL","12/2020","81.89"
"270460","MARAVILHA","AL","12/2020","90.72"
"270470","MARECHAL DEODORO","AL","12/2020","79.18"
"270480","MARIBONDO","AL","12/2020","82.55"
"270490","MAR VERMELHO","AL","12/2020","90.36"
"270500","MATA GRANDE","AL","12/2020","87.65"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2020","83.18"
"270520","MESSIAS","AL","12/2020","82.04"
"270530","MINADOR DO NEGRÃO","AL","12/2020","92.59"
"270540","MONTEIRÓPOLIS","AL","12/2020","92.92"
"270550","MURICI","AL","12/2020","77.04"
"270560","NOVO LINO","AL","12/2020","84.80"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2020","96.05"
"270580","OLHO DÁGUA DO CASADO","AL","12/2020","84.65"
"270590","OLHO DÁGUA GRANDE","AL","12/2020","79.59"
"270600","OLIVENÇA","AL","12/2020","87.85"
"270610","OURO BRANCO","AL","12/2020","81.22"
"270620","PALESTINA","AL","12/2020","89.06"
"270630","PALMEIRA DOS ÍNDIOS","AL","12/2020","86.08"
"270640","PÃO DE AÇÚCAR","AL","12/2020","87.39"
"270642","PARICONHA","AL","12/2020","84.06"
"270644","PARIPUEIRA","AL","12/2020","78.75"
"270650","PASSO DE CAMARAGIBE","AL","12/2020","76.74"
"270660","PAULO JACINTO","AL","12/2020","89.75"
"270670","PENEDO","AL","12/2020","84.01"
"270680","PIAÇABUÇU","AL","12/2020","86.07"
"270690","PILAR","AL","12/2020","78.02"
"270700","PINDOBA","AL","12/2020","90.45"
"270710","PIRANHAS","AL","12/2020","78.58"
"270720","POÇO DAS TRINCHEIRAS","AL","12/2020","90.11"
"270730","PORTO CALVO","AL","12/2020","83.06"
"270740","PORTO DE PEDRAS","AL","12/2020","68.40"
"270750","PORTO REAL DO COLÉGIO","AL","12/2020","82.83"
"270760","QUEBRANGULO","AL","12/2020","82.39"
"270770","RIO LARGO","AL","12/2020","79.35"
"270780","ROTEIRO","AL","12/2020","83.90"
"270790","SANTA LUZIA DO NORTE","AL","12/2020","94.03"
"270800","SANTANA DO IPANEMA","AL","12/2020","86.38"
"270810","SANTANA DO MUNDAÚ","AL","12/2020","88.53"
"270820","SÃO BRÁS","AL","12/2020","85.22"
"270830","SÃO JOSÉ DA LAJE","AL","12/2020","89.20"
"270840","SÃO JOSÉ DA TAPERA","AL","12/2020","91.19"
"270850","SÃO LUÍS DO QUITUNDE","AL","12/2020","81.18"
"270860","SÃO MIGUEL DOS CAMPOS","AL","12/2020","88.23"
"270870","SÃO MIGUEL DOS MILAGRES","AL","12/2020","85.10"
"270880","SÃO SEBASTIÃO","AL","12/2020","77.10"
"270890","SATUBA","AL","12/2020","89.70"
"270895","SENADOR RUI PALMEIRA","AL","12/2020","87.12"
"270900","TANQUE DARCA","AL","12/2020","92.20"
"270910","TAQUARANA","AL","12/2020","78.10"
"270915","TEOTÔNIO VILELA","AL","12/2020","84.26"
"270920","TRAIPU","AL","12/2020","83.99"
"270930","UNIÃO DOS PALMARES","AL","12/2020","82.64"
"270940","VIÇOSA","AL","12/2020","93.36"
"130002","ALVARÃES","AM","12/2020","86.26"
"130006","AMATURÁ","AM","12/2020","93.69"
"130008","ANAMÃ","AM","12/2020","89.93"
"130010","ANORI","AM","12/2020","90.68"
"130014","APUÍ","AM","12/2020","82.32"
"130020","ATALAIA DO NORTE","AM","12/2020","80.65"
"130030","AUTAZES","AM","12/2020","85.38"
"130040","BARCELOS","AM","12/2020","77.16"
"130050","BARREIRINHA","AM","12/2020","83.35"
"130060","BENJAMIN CONSTANT","AM","12/2020","85.90"
"130063","BERURI","AM","12/2020","89.21"
"130068","BOA VISTA DO RAMOS","AM","12/2020","95.75"
"130070","BOCA DO ACRE","AM","12/2020","87.17"
"130080","BORBA","AM","12/2020","82.38"
"130083","CAAPIRANGA","AM","12/2020","90.48"
"130090","CANUTAMA","AM","12/2020","86.26"
"130100","CARAUARI","AM","12/2020","88.21"
"130110","CAREIRO","AM","12/2020","83.34"
"130115","CAREIRO DA VÁRZEA","AM","12/2020","84.07"
"130120","COARI","AM","12/2020","81.51"
"130130","CODAJÁS","AM","12/2020","91.31"
"130140","EIRUNEPÉ","AM","12/2020","93.51"
"130150","ENVIRA","AM","12/2020","86.17"
"130160","FONTE BOA","AM","12/2020","84.98"
"130165","GUAJARÁ","AM","12/2020","86.42"
"130170","HUMAITÁ","AM","12/2020","86.84"
"130180","IPIXUNA","AM","12/2020","92.88"
"130185","IRANDUBA","AM","12/2020","87.70"
"130190","ITACOATIARA","AM","12/2020","87.00"
"130195","ITAMARATI","AM","12/2020","94.93"
"130200","ITAPIRANGA","AM","12/2020","92.48"
"130210","JAPURÁ","AM","12/2020","67.15"
"130220","JURUÁ","AM","12/2020","83.07"
"130230","JUTAÍ","AM","12/2020","88.04"
"130240","LÁBREA","AM","12/2020","90.70"
"130250","MANACAPURU","AM","12/2020","82.92"
"130255","MANAQUIRI","AM","12/2020","87.24"
"130260","MANAUS","AM","12/2020","82.45"
"130270","MANICORÉ","AM","12/2020","88.40"
"130280","MARAÃ","AM","12/2020","88.24"
"130290","MAUÉS","AM","12/2020","85.86"
"130300","NHAMUNDÁ","AM","12/2020","91.55"
"130310","NOVA OLINDA DO NORTE","AM","12/2020","92.24"
"130320","NOVO AIRÃO","AM","12/2020","84.41"
"130330","NOVO ARIPUANÃ","AM","12/2020","93.75"
"130340","PARINTINS","AM","12/2020","87.88"
"130350","PAUINI","AM","12/2020","92.44"
"130353","PRESIDENTE FIGUEIREDO","AM","12/2020","91.58"
"130356","RIO PRETO DA EVA","AM","12/2020","84.41"
"130360","SANTA ISABEL DO RIO NEGRO","AM","12/2020","84.85"
"130370","SANTO ANTÔNIO DO IÇÁ","AM","12/2020","92.50"
"130380","SÃO GABRIEL DA CACHOEIRA","AM","12/2020","78.05"
"130390","SÃO PAULO DE OLIVENÇA","AM","12/2020","87.32"
"130395","SÃO SEBASTIÃO DO UATUMÃ","AM","12/2020","88.61"
"130400","SILVES","AM","12/2020","89.42"
"130406","TABATINGA","AM","12/2020","82.53"
"130410","TAPAUÁ","AM","12/2020","89.57"
"130420","TEFÉ","AM","12/2020","86.51"
"130423","TONANTINS","AM","12/2020","90.64"
"130426","UARINI","AM","12/2020","92.78"
"130430","URUCARÁ","AM","12/2020","90.80"
"130440","URUCURITUBA","AM","12/2020","88.39"
"160005","SERRA DO NAVIO","AP","12/2020","91.73"
"160010","AMAPÁ","AP","12/2020","96.00"
"160015","PEDRA BRANCA DO AMAPARI","AP","12/2020","93.08"
"160020","CALÇOENE","AP","12/2020","83.77"
"160021","CUTIAS","AP","12/2020","80.46"
"160023","FERREIRA GOMES","AP","12/2020","88.14"
"160025","ITAUBAL","AP","12/2020","91.95"
"160027","LARANJAL DO JARI","AP","12/2020","87.63"
"160030","MACAPÁ","AP","12/2020","83.73"
"160040","MAZAGÃO","AP","12/2020","93.39"
"160050","OIAPOQUE","AP","12/2020","82.58"
"160053","PORTO GRANDE","AP","12/2020","92.98"
"160055","PRACUÚBA","AP","12/2020","95.13"
"160060","SANTANA","AP","12/2020","89.70"
"160070","TARTARUGALZINHO","AP","12/2020","84.76"
"160080","VITÓRIA DO JARI","AP","12/2020","93.58"
"290010","ABAÍRA","BA","12/2020","85.24"
"290020","ABARÉ","BA","12/2020","78.40"
"290030","ACAJUTIBA","BA","12/2020","87.76"
"290035","ADUSTINA","BA","12/2020","81.73"
"290040","ÁGUA FRIA","BA","12/2020","81.79"
"290050","ÉRICO CARDOSO","BA","12/2020","85.58"
"290060","AIQUARA","BA","12/2020","80.14"
"290070","ALAGOINHAS","BA","12/2020","87.26"
"290080","ALCOBAÇA","BA","12/2020","86.51"
"290090","ALMADINA","BA","12/2020","83.62"
"290100","AMARGOSA","BA","12/2020","82.16"
"290110","AMÉLIA RODRIGUES","BA","12/2020","81.58"
"290115","AMÉRICA DOURADA","BA","12/2020","65.48"
"290120","ANAGÉ","BA","12/2020","81.07"
"290130","ANDARAÍ","BA","12/2020","86.83"
"290135","ANDORINHA","BA","12/2020","89.17"
"290140","ANGICAL","BA","12/2020","84.94"
"290150","ANGUERA","BA","12/2020","89.61"
"290160","ANTAS","BA","12/2020","72.36"
"290170","ANTÔNIO CARDOSO","BA","12/2020","85.89"
"290180","ANTÔNIO GONÇALVES","BA","12/2020","92.55"
"290190","APORÁ","BA","12/2020","90.93"
"290195","APUAREMA","BA","12/2020","84.44"
"290200","ARACATU","BA","12/2020","84.36"
"290205","ARAÇÁS","BA","12/2020","83.84"
"290210","ARACI","BA","12/2020","90.85"
"290220","ARAMARI","BA","12/2020","78.22"
"290225","ARATACA","BA","12/2020","87.51"
"290230","ARATUÍPE","BA","12/2020","84.15"
"290240","AURELINO LEAL","BA","12/2020","88.69"
"290250","BAIANÓPOLIS","BA","12/2020","86.56"
"290260","BAIXA GRANDE","BA","12/2020","85.68"
"290265","BANZAÊ","BA","12/2020","85.28"
"290270","BARRA","BA","12/2020","86.56"
"290280","BARRA DA ESTIVA","BA","12/2020","85.07"
"290290","BARRA DO CHOÇA","BA","12/2020","85.99"
"290300","BARRA DO MENDES","BA","12/2020","87.84"
"290310","BARRA DO ROCHA","BA","12/2020","80.20"
"290320","BARREIRAS","BA","12/2020","82.40"
"290323","BARRO ALTO","BA","12/2020","92.01"
"290327","BARROCAS","BA","12/2020","79.19"
"290330","BARRO PRETO","BA","12/2020","83.41"
"290340","BELMONTE","BA","12/2020","86.46"
"290350","BELO CAMPO","BA","12/2020","85.67"
"290360","BIRITINGA","BA","12/2020","85.75"
"290370","BOA NOVA","BA","12/2020","87.19"
"290380","BOA VISTA DO TUPIM","BA","12/2020","82.60"
"290390","BOM JESUS DA LAPA","BA","12/2020","87.92"
"290395","BOM JESUS DA SERRA","BA","12/2020","84.52"
"290400","BONINAL","BA","12/2020","86.68"
"290405","BONITO","BA","12/2020","81.23"
"290410","BOQUIRA","BA","12/2020","91.05"
"290420","BOTUPORÃ","BA","12/2020","83.69"
"290430","BREJÕES","BA","12/2020","84.73"
"290440","BREJOLÂNDIA","BA","12/2020","90.65"
"290450","BROTAS DE MACAÚBAS","BA","12/2020","89.16"
"290460","BRUMADO","BA","12/2020","83.60"
"290470","BUERAREMA","BA","12/2020","87.64"
"290475","BURITIRAMA","BA","12/2020","88.20"
"290480","CAATIBA","BA","12/2020","87.99"
"290485","CABACEIRAS DO PARAGUAÇU","BA","12/2020","86.14"
"290490","CACHOEIRA","BA","12/2020","85.85"
"290500","CACULÉ","BA","12/2020","78.28"
"290510","CAÉM","BA","12/2020","86.39"
"290515","CAETANOS","BA","12/2020","78.68"
"290520","CAETITÉ","BA","12/2020","91.81"
"290530","CAFARNAUM","BA","12/2020","85.27"
"290540","CAIRU","BA","12/2020","74.89"
"290550","CALDEIRÃO GRANDE","BA","12/2020","82.67"
"290560","CAMACAN","BA","12/2020","80.23"
"290570","CAMAÇARI","BA","12/2020","80.80"
"290580","CAMAMU","BA","12/2020","79.41"
"290590","CAMPO ALEGRE DE LOURDES","BA","12/2020","89.96"
"290600","CAMPO FORMOSO","BA","12/2020","87.60"
"290610","CANÁPOLIS","BA","12/2020","88.05"
"290620","CANARANA","BA","12/2020","81.67"
"290630","CANAVIEIRAS","BA","12/2020","82.45"
"290640","CANDEAL","BA","12/2020","93.50"
"290650","CANDEIAS","BA","12/2020","82.58"
"290660","CANDIBA","BA","12/2020","87.11"
"290670","CÂNDIDO SALES","BA","12/2020","73.40"
"290680","CANSANÇÃO","BA","12/2020","92.16"
"290682","CANUDOS","BA","12/2020","75.43"
"290685","CAPELA DO ALTO ALEGRE","BA","12/2020","84.92"
"290687","CAPIM GROSSO","BA","12/2020","82.17"
"290689","CARAÍBAS","BA","12/2020","80.99"
"290690","CARAVELAS","BA","12/2020","86.91"
"290700","CARDEAL DA SILVA","BA","12/2020","89.57"
"290710","CARINHANHA","BA","12/2020","89.40"
"290720","CASA NOVA","BA","12/2020","81.58"
"290730","CASTRO ALVES","BA","12/2020","89.23"
"290740","CATOLÂNDIA","BA","12/2020","87.94"
"290750","CATU","BA","12/2020","82.05"
"290755","CATURAMA","BA","12/2020","82.37"
"290760","CENTRAL","BA","12/2020","84.57"
"290770","CHORROCHÓ","BA","12/2020","90.42"
"290780","CÍCERO DANTAS","BA","12/2020","85.63"
"290790","CIPÓ","BA","12/2020","83.48"
"290800","COARACI","BA","12/2020","83.99"
"290810","COCOS","BA","12/2020","78.86"
"290820","CONCEIÇÃO DA FEIRA","BA","12/2020","84.42"
"290830","CONCEIÇÃO DO ALMEIDA","BA","12/2020","78.08"
"290840","CONCEIÇÃO DO COITÉ","BA","12/2020","83.17"
"290850","CONCEIÇÃO DO JACUÍPE","BA","12/2020","91.01"
"290860","CONDE","BA","12/2020","89.45"
"290870","CONDEÚBA","BA","12/2020","83.55"
"290880","CONTENDAS DO SINCORÁ","BA","12/2020","80.25"
"290890","CORAÇÃO DE MARIA","BA","12/2020","88.81"
"290900","CORDEIROS","BA","12/2020","82.72"
"290910","CORIBE","BA","12/2020","92.15"
"290920","CORONEL JOÃO SÁ","BA","12/2020","85.36"
"290930","CORRENTINA","BA","12/2020","84.68"
"290940","COTEGIPE","BA","12/2020","85.22"
"290950","CRAVOLÂNDIA","BA","12/2020","79.96"
"290960","CRISÓPOLIS","BA","12/2020","86.54"
"290970","CRISTÓPOLIS","BA","12/2020","83.51"
"290980","CRUZ DAS ALMAS","BA","12/2020","89.21"
"290990","CURAÇÁ","BA","12/2020","84.09"
"291000","DÁRIO MEIRA","BA","12/2020","85.27"
"291005","DIAS DÁVILA","BA","12/2020","83.88"
"291010","DOM BASÍLIO","BA","12/2020","84.23"
"291020","DOM MACEDO COSTA","BA","12/2020","84.87"
"291030","ELÍSIO MEDRADO","BA","12/2020","93.57"
"291040","ENCRUZILHADA","BA","12/2020","83.68"
"291050","ENTRE RIOS","BA","12/2020","81.44"
"291060","ESPLANADA","BA","12/2020","86.00"
"291070","EUCLIDES DA CUNHA","BA","12/2020","83.13"
"291072","EUNÁPOLIS","BA","12/2020","82.40"
"291075","FÁTIMA","BA","12/2020","89.00"
"291077","FEIRA DA MATA","BA","12/2020","88.08"
"291080","FEIRA DE SANTANA","BA","12/2020","86.94"
"291085","FILADÉLFIA","BA","12/2020","89.19"
"291090","FIRMINO ALVES","BA","12/2020","87.11"
"291100","FLORESTA AZUL","BA","12/2020","74.75"
"291110","FORMOSA DO RIO PRETO","BA","12/2020","95.33"
"291120","GANDU","BA","12/2020","81.99"
"291125","GAVIÃO","BA","12/2020","68.89"
"291130","GENTIO DO OURO","BA","12/2020","88.49"
"291140","GLÓRIA","BA","12/2020","93.68"
"291150","GONGOGI","BA","12/2020","85.11"
"291160","GOVERNADOR MANGABEIRA","BA","12/2020","84.71"
"291165","GUAJERU","BA","12/2020","91.60"
"291170","GUANAMBI","BA","12/2020","83.43"
"291180","GUARATINGA","BA","12/2020","85.94"
"291185","HELIÓPOLIS","BA","12/2020","86.64"
"291190","IAÇU","BA","12/2020","85.49"
"291200","IBIASSUCÊ","BA","12/2020","89.96"
"291210","IBICARAÍ","BA","12/2020","81.16"
"291220","IBICOARA","BA","12/2020","81.47"
"291230","IBICUÍ","BA","12/2020","84.75"
"291240","IBIPEBA","BA","12/2020","83.85"
"291250","IBIPITANGA","BA","12/2020","86.72"
"291260","IBIQUERA","BA","12/2020","89.53"
"291270","IBIRAPITANGA","BA","12/2020","93.54"
"291280","IBIRAPUÃ","BA","12/2020","90.84"
"291290","IBIRATAIA","BA","12/2020","82.98"
"291300","IBITIARA","BA","12/2020","83.69"
"291310","IBITITÁ","BA","12/2020","77.20"
"291320","IBOTIRAMA","BA","12/2020","82.91"
"291330","ICHU","BA","12/2020","85.87"
"291340","IGAPORÃ","BA","12/2020","85.36"
"291345","IGRAPIÚNA","BA","12/2020","78.89"
"291350","IGUAÍ","BA","12/2020","89.36"
"291360","ILHÉUS","BA","12/2020","85.73"
"291370","INHAMBUPE","BA","12/2020","87.60"
"291380","IPECAETÁ","BA","12/2020","89.25"
"291390","IPIAÚ","BA","12/2020","85.04"
"291400","IPIRÁ","BA","12/2020","80.95"
"291410","IPUPIARA","BA","12/2020","86.94"
"291420","IRAJUBA","BA","12/2020","82.57"
"291430","IRAMAIA","BA","12/2020","72.85"
"291440","IRAQUARA","BA","12/2020","78.96"
"291450","IRARÁ","BA","12/2020","81.86"
"291460","IRECÊ","BA","12/2020","87.42"
"291465","ITABELA","BA","12/2020","82.80"
"291470","ITABERABA","BA","12/2020","90.06"
"291480","ITABUNA","BA","12/2020","85.85"
"291490","ITACARÉ","BA","12/2020","84.10"
"291500","ITAETÉ","BA","12/2020","85.85"
"291510","ITAGI","BA","12/2020","90.00"
"291520","ITAGIBÁ","BA","12/2020","78.81"
"291530","ITAGIMIRIM","BA","12/2020","82.26"
"291535","ITAGUAÇU DA BAHIA","BA","12/2020","79.21"
"291540","ITAJU DO COLÔNIA","BA","12/2020","90.22"
"291550","ITAJUÍPE","BA","12/2020","87.71"
"291560","ITAMARAJU","BA","12/2020","83.13"
"291570","ITAMARI","BA","12/2020","78.25"
"291580","ITAMBÉ","BA","12/2020","81.91"
"291590","ITANAGRA","BA","12/2020","89.30"
"291600","ITANHÉM","BA","12/2020","75.67"
"291610","ITAPARICA","BA","12/2020","86.03"
"291620","ITAPÉ","BA","12/2020","85.04"
"291630","ITAPEBI","BA","12/2020","79.66"
"291640","ITAPETINGA","BA","12/2020","87.59"
"291650","ITAPICURU","BA","12/2020","85.93"
"291660","ITAPITANGA","BA","12/2020","81.82"
"291670","ITAQUARA","BA","12/2020","75.11"
"291680","ITARANTIM","BA","12/2020","83.93"
"291685","ITATIM","BA","12/2020","91.42"
"291690","ITIRUÇU","BA","12/2020","91.22"
"291700","ITIÚBA","BA","12/2020","90.20"
"291710","ITORORÓ","BA","12/2020","83.48"
"291720","ITUAÇU","BA","12/2020","86.09"
"291730","ITUBERÁ","BA","12/2020","80.02"
"291733","IUIU","BA","12/2020","89.15"
"291735","JABORANDI","BA","12/2020","92.53"
"291740","JACARACI","BA","12/2020","90.72"
"291750","JACOBINA","BA","12/2020","78.43"
"291760","JAGUAQUARA","BA","12/2020","76.68"
"291770","JAGUARARI","BA","12/2020","89.64"
"291780","JAGUARIPE","BA","12/2020","87.78"
"291790","JANDAÍRA","BA","12/2020","87.34"
"291800","JEQUIÉ","BA","12/2020","80.64"
"291810","JEREMOABO","BA","12/2020","90.04"
"291820","JIQUIRIÇÁ","BA","12/2020","84.67"
"291830","JITAÚNA","BA","12/2020","81.91"
"291835","JOÃO DOURADO","BA","12/2020","85.75"
"291840","JUAZEIRO","BA","12/2020","83.60"
"291845","JUCURUÇU","BA","12/2020","82.12"
"291850","JUSSARA","BA","12/2020","77.74"
"291855","JUSSARI","BA","12/2020","93.32"
"291860","JUSSIAPE","BA","12/2020","93.13"
"291870","LAFAIETE COUTINHO","BA","12/2020","72.88"
"291875","LAGOA REAL","BA","12/2020","94.91"
"291880","LAJE","BA","12/2020","90.11"
"291890","LAJEDÃO","BA","12/2020","88.06"
"291900","LAJEDINHO","BA","12/2020","89.90"
"291905","LAJEDO DO TABOCAL","BA","12/2020","75.42"
"291910","LAMARÃO","BA","12/2020","94.61"
"291915","LAPÃO","BA","12/2020","80.83"
"291920","LAURO DE FREITAS","BA","12/2020","85.26"
"291930","LENÇÓIS","BA","12/2020","77.48"
"291940","LICÍNIO DE ALMEIDA","BA","12/2020","84.92"
"291950","LIVRAMENTO DE NOSSA SENHORA","BA","12/2020","84.38"
"291955","LUÍS EDUARDO MAGALHÃES","BA","12/2020","88.91"
"291960","MACAJUBA","BA","12/2020","90.82"
"291970","MACARANI","BA","12/2020","79.52"
"291980","MACAÚBAS","BA","12/2020","90.23"
"291990","MACURURÉ","BA","12/2020","81.32"
"291992","MADRE DE DEUS","BA","12/2020","81.56"
"291995","MAETINGA","BA","12/2020","82.84"
"292000","MAIQUINIQUE","BA","12/2020","85.36"
"292010","MAIRI","BA","12/2020","82.18"
"292020","MALHADA","BA","12/2020","80.32"
"292030","MALHADA DE PEDRAS","BA","12/2020","87.44"
"292040","MANOEL VITORINO","BA","12/2020","82.40"
"292045","MANSIDÃO","BA","12/2020","82.46"
"292050","MARACÁS","BA","12/2020","85.35"
"292060","MARAGOGIPE","BA","12/2020","79.81"
"292070","MARAÚ","BA","12/2020","88.57"
"292080","MARCIONÍLIO SOUZA","BA","12/2020","88.01"
"292090","MASCOTE","BA","12/2020","85.60"
"292100","MATA DE SÃO JOÃO","BA","12/2020","85.43"
"292105","MATINA","BA","12/2020","92.74"
"292110","MEDEIROS NETO","BA","12/2020","83.58"
"292120","MIGUEL CALMON","BA","12/2020","80.88"
"292130","MILAGRES","BA","12/2020","77.20"
"292140","MIRANGABA","BA","12/2020","78.83"
"292145","MIRANTE","BA","12/2020","92.54"
"292150","MONTE SANTO","BA","12/2020","93.77"
"292160","MORPARÁ","BA","12/2020","87.81"
"292170","MORRO DO CHAPÉU","BA","12/2020","84.61"
"292180","MORTUGABA","BA","12/2020","83.76"
"292190","MUCUGÊ","BA","12/2020","80.92"
"292200","MUCURI","BA","12/2020","90.54"
"292205","MULUNGU DO MORRO","BA","12/2020","88.47"
"292210","MUNDO NOVO","BA","12/2020","84.91"
"292220","MUNIZ FERREIRA","BA","12/2020","94.25"
"292225","MUQUÉM DO SÃO FRANCISCO","BA","12/2020","81.40"
"292230","MURITIBA","BA","12/2020","85.55"
"292240","MUTUÍPE","BA","12/2020","92.01"
"292250","NAZARÉ","BA","12/2020","81.20"
"292260","NILO PEÇANHA","BA","12/2020","82.15"
"292265","NORDESTINA","BA","12/2020","95.93"
"292270","NOVA CANAÃ","BA","12/2020","90.66"
"292273","NOVA FÁTIMA","BA","12/2020","78.64"
"292275","NOVA IBIÁ","BA","12/2020","80.18"
"292280","NOVA ITARANA","BA","12/2020","82.05"
"292285","NOVA REDENÇÃO","BA","12/2020","78.91"
"292290","NOVA SOURE","BA","12/2020","82.77"
"292300","NOVA VIÇOSA","BA","12/2020","88.37"
"292303","NOVO HORIZONTE","BA","12/2020","79.81"
"292305","NOVO TRIUNFO","BA","12/2020","83.43"
"292310","OLINDINA","BA","12/2020","80.13"
"292320","OLIVEIRA DOS BREJINHOS","BA","12/2020","78.93"
"292330","OURIÇANGAS","BA","12/2020","83.30"
"292335","OUROLÂNDIA","BA","12/2020","76.49"
"292340","PALMAS DE MONTE ALTO","BA","12/2020","78.82"
"292350","PALMEIRAS","BA","12/2020","83.80"
"292360","PARAMIRIM","BA","12/2020","82.08"
"292370","PARATINGA","BA","12/2020","78.33"
"292380","PARIPIRANGA","BA","12/2020","84.07"
"292390","PAU BRASIL","BA","12/2020","92.27"
"292400","PAULO AFONSO","BA","12/2020","88.85"
"292405","PÉ DE SERRA","BA","12/2020","81.16"
"292410","PEDRÃO","BA","12/2020","95.84"
"292420","PEDRO ALEXANDRE","BA","12/2020","88.28"
"292430","PIATÃ","BA","12/2020","91.29"
"292440","PILÃO ARCADO","BA","12/2020","89.02"
"292450","PINDAÍ","BA","12/2020","84.17"
"292460","PINDOBAÇU","BA","12/2020","79.47"
"292465","PINTADAS","BA","12/2020","90.81"
"292467","PIRAÍ DO NORTE","BA","12/2020","79.08"
"292470","PIRIPÁ","BA","12/2020","87.74"
"292480","PIRITIBA","BA","12/2020","80.89"
"292490","PLANALTINO","BA","12/2020","77.08"
"292500","PLANALTO","BA","12/2020","86.17"
"292510","POÇÕES","BA","12/2020","85.87"
"292520","POJUCA","BA","12/2020","82.59"
"292525","PONTO NOVO","BA","12/2020","93.25"
"292530","PORTO SEGURO","BA","12/2020","81.88"
"292540","POTIRAGUÁ","BA","12/2020","84.57"
"292550","PRADO","BA","12/2020","89.47"
