"Código","Unidade Territorial","UF","Referência","Famílias beneficiárias do Programa Bolsa Família"
"521150","ITUMBIARA","GO","10/2019","3764"
"521160","IVOLÂNDIA","GO","10/2019","252"
"521170","JANDAIA","GO","10/2019","453"
"521180","JARAGUÁ","GO","10/2019","3016"
"521190","JATAÍ","GO","10/2019","1994"
"521200","JAUPACI","GO","10/2019","272"
"521205","JESÚPOLIS","GO","10/2019","314"
"521210","JOVIÂNIA","GO","10/2019","122"
"521220","JUSSARA","GO","10/2019","985"
"521225","LAGOA SANTA","GO","10/2019","123"
"521230","LEOPOLDO DE BULHÕES","GO","10/2019","644"
"521250","LUZIÂNIA","GO","10/2019","11885"
"521260","MAIRIPOTABA","GO","10/2019","232"
"521270","MAMBAÍ","GO","10/2019","1129"
"521280","MARA ROSA","GO","10/2019","709"
"521290","MARZAGÃO","GO","10/2019","185"
"521295","MATRINCHÃ","GO","10/2019","549"
"521300","MAURILÂNDIA","GO","10/2019","956"
"521305","MIMOSO DE GOIÁS","GO","10/2019","247"
"521308","MINAÇU","GO","10/2019","1837"
"521310","MINEIROS","GO","10/2019","2391"
"521340","MOIPORÁ","GO","10/2019","188"
"521350","MONTE ALEGRE DE GOIÁS","GO","10/2019","1044"
"521370","MONTES CLAROS DE GOIÁS","GO","10/2019","238"
"521375","MONTIVIDIU","GO","10/2019","366"
"521377","MONTIVIDIU DO NORTE","GO","10/2019","786"
"521380","MORRINHOS","GO","10/2019","1228"
"521385","MORRO AGUDO DE GOIÁS","GO","10/2019","273"
"521390","MOSSÂMEDES","GO","10/2019","251"
"521400","MOZARLÂNDIA","GO","10/2019","1206"
"521405","MUNDO NOVO","GO","10/2019","481"
"521410","MUTUNÓPOLIS","GO","10/2019","339"
"521440","NAZÁRIO","GO","10/2019","391"
"521450","NERÓPOLIS","GO","10/2019","1135"
"521460","NIQUELÂNDIA","GO","10/2019","2004"
"521470","NOVA AMÉRICA","GO","10/2019","122"
"521480","NOVA AURORA","GO","10/2019","75"
"521483","NOVA CRIXÁS","GO","10/2019","844"
"521486","NOVA GLÓRIA","GO","10/2019","852"
"521487","NOVA IGUAÇU DE GOIÁS","GO","10/2019","146"
"521490","NOVA ROMA","GO","10/2019","447"
"521500","NOVA VENEZA","GO","10/2019","938"
"521520","NOVO BRASIL","GO","10/2019","228"
"521523","NOVO GAMA","GO","10/2019","4332"
"521525","NOVO PLANALTO","GO","10/2019","514"
"521530","ORIZONA","GO","10/2019","498"
"521540","OURO VERDE DE GOIÁS","GO","10/2019","276"
"521550","OUVIDOR","GO","10/2019","299"
"521560","PADRE BERNARDO","GO","10/2019","1691"
"521565","PALESTINA DE GOIÁS","GO","10/2019","320"
"521570","PALMEIRAS DE GOIÁS","GO","10/2019","605"
"521580","PALMELO","GO","10/2019","84"
"521590","PALMINÓPOLIS","GO","10/2019","270"
"521600","PANAMÁ","GO","10/2019","77"
"521630","PARANAIGUARA","GO","10/2019","427"
"521640","PARAÚNA","GO","10/2019","565"
"521645","PEROLÂNDIA","GO","10/2019","144"
"521680","PETROLINA DE GOIÁS","GO","10/2019","327"
"521690","PILAR DE GOIÁS","GO","10/2019","246"
"521710","PIRACANJUBA","GO","10/2019","651"
"521720","PIRANHAS","GO","10/2019","824"
"521730","PIRENÓPOLIS","GO","10/2019","1122"
"521740","PIRES DO RIO","GO","10/2019","1349"
"521760","PLANALTINA","GO","10/2019","5981"
"521770","PONTALINA","GO","10/2019","860"
"521800","PORANGATU","GO","10/2019","2236"
"521805","PORTEIRÃO","GO","10/2019","206"
"521810","PORTELÂNDIA","GO","10/2019","244"
"521830","POSSE","GO","10/2019","2813"
"521839","PROFESSOR JAMIL","GO","10/2019","240"
"521850","QUIRINÓPOLIS","GO","10/2019","921"
"521860","RIALMA","GO","10/2019","422"
"521870","RIANÁPOLIS","GO","10/2019","187"
"521878","RIO QUENTE","GO","10/2019","187"
"521880","RIO VERDE","GO","10/2019","5338"
"521890","RUBIATABA","GO","10/2019","675"
"521900","SANCLERLÂNDIA","GO","10/2019","320"
"521910","SANTA BÁRBARA DE GOIÁS","GO","10/2019","394"
"521920","SANTA CRUZ DE GOIÁS","GO","10/2019","169"
"521925","SANTA FÉ DE GOIÁS","GO","10/2019","284"
"521930","SANTA HELENA DE GOIÁS","GO","10/2019","1570"
"521935","SANTA ISABEL","GO","10/2019","360"
"521940","SANTA RITA DO ARAGUAIA","GO","10/2019","397"
"521945","SANTA RITA DO NOVO DESTINO","GO","10/2019","224"
"521950","SANTA ROSA DE GOIÁS","GO","10/2019","318"
"521960","SANTA TEREZA DE GOIÁS","GO","10/2019","244"
"521970","SANTA TEREZINHA DE GOIÁS","GO","10/2019","1490"
"521971","SANTO ANTÔNIO DA BARRA","GO","10/2019","206"
"521973","SANTO ANTÔNIO DE GOIÁS","GO","10/2019","552"
"521975","SANTO ANTÔNIO DO DESCOBERTO","GO","10/2019","6328"
"521980","SÃO DOMINGOS","GO","10/2019","1350"
"521990","SÃO FRANCISCO DE GOIÁS","GO","10/2019","483"
"522000","SÃO JOÃO DALIANÇA","GO","10/2019","1115"
"522005","SÃO JOÃO DA PARAÚNA","GO","10/2019","115"
"522010","SÃO LUÍS DE MONTES BELOS","GO","10/2019","1175"
"522015","SÃO LUIZ DO NORTE","GO","10/2019","333"
"522020","SÃO MIGUEL DO ARAGUAIA","GO","10/2019","1718"
"522026","SÃO MIGUEL DO PASSA QUATRO","GO","10/2019","227"
"522028","SÃO PATRÍCIO","GO","10/2019","151"
"522040","SÃO SIMÃO","GO","10/2019","1240"
"522045","SENADOR CANEDO","GO","10/2019","4681"
"522050","SERRANÓPOLIS","GO","10/2019","306"
"522060","SILVÂNIA","GO","10/2019","1116"
"522068","SIMOLÂNDIA","GO","10/2019","989"
"522070","SÍTIO DABADIA","GO","10/2019","336"
"522100","TAQUARAL DE GOIÁS","GO","10/2019","235"
"522108","TERESINA DE GOIÁS","GO","10/2019","534"
"522119","TEREZÓPOLIS DE GOIÁS","GO","10/2019","616"
"522130","TRÊS RANCHOS","GO","10/2019","151"
"522140","TRINDADE","GO","10/2019","4374"
"522145","TROMBAS","GO","10/2019","289"
"522150","TURVÂNIA","GO","10/2019","288"
"522155","TURVELÂNDIA","GO","10/2019","378"
"522157","UIRAPURU","GO","10/2019","314"
"522160","URUAÇU","GO","10/2019","1092"
"522170","URUANA","GO","10/2019","1049"
"522180","URUTAÍ","GO","10/2019","57"
"522185","VALPARAÍSO DE GOIÁS","GO","10/2019","6153"
"522190","VARJÃO","GO","10/2019","229"
"522200","VIANÓPOLIS","GO","10/2019","298"
"522205","VICENTINÓPOLIS","GO","10/2019","816"
"522220","VILA BOA","GO","10/2019","513"
"522230","VILA PROPÍCIO","GO","10/2019","507"
"210005","AÇAILÂNDIA","MA","10/2019","8462"
"210010","AFONSO CUNHA","MA","10/2019","1436"
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2019","2475"
"210020","ALCÂNTARA","MA","10/2019","5736"
"210030","ALDEIAS ALTAS","MA","10/2019","3639"
"210040","ALTAMIRA DO MARANHÃO","MA","10/2019","1370"
"210043","ALTO ALEGRE DO MARANHÃO","MA","10/2019","4034"
"210047","ALTO ALEGRE DO PINDARÉ","MA","10/2019","4506"
"210050","ALTO PARNAÍBA","MA","10/2019","1227"
"210055","AMAPÁ DO MARANHÃO","MA","10/2019","1357"
"210060","AMARANTE DO MARANHÃO","MA","10/2019","4639"
"210070","ANAJATUBA","MA","10/2019","6074"
"210080","ANAPURUS","MA","10/2019","3511"
"210083","APICUM-AÇU","MA","10/2019","4068"
"210087","ARAGUANÃ","MA","10/2019","2168"
"210090","ARAIOSES","MA","10/2019","7361"
"210095","ARAME","MA","10/2019","4716"
"210100","ARARI","MA","10/2019","5080"
"210110","AXIXÁ","MA","10/2019","2455"
"210120","BACABAL","MA","10/2019","12453"
"210125","BACABEIRA","MA","10/2019","3011"
"210130","BACURI","MA","10/2019","2929"
"210135","BACURITUBA","MA","10/2019","1025"
"210140","BALSAS","MA","10/2019","8402"
"210150","BARÃO DE GRAJAÚ","MA","10/2019","3263"
"210160","BARRA DO CORDA","MA","10/2019","10176"
"210170","BARREIRINHAS","MA","10/2019","11492"
"210173","BELÁGUA","MA","10/2019","1690"
"210177","BELA VISTA DO MARANHÃO","MA","10/2019","2543"
"210180","BENEDITO LEITE","MA","10/2019","1081"
"210190","BEQUIMÃO","MA","10/2019","3575"
"210193","BERNARDO DO MEARIM","MA","10/2019","865"
"210197","BOA VISTA DO GURUPI","MA","10/2019","1520"
"210200","BOM JARDIM","MA","10/2019","5340"
"210203","BOM JESUS DAS SELVAS","MA","10/2019","4758"
"210207","BOM LUGAR","MA","10/2019","2305"
"210210","BREJO","MA","10/2019","6661"
"210215","BREJO DE AREIA","MA","10/2019","1761"
"210220","BURITI","MA","10/2019","5048"
"210230","BURITI BRAVO","MA","10/2019","3861"
"210232","BURITICUPU","MA","10/2019","6597"
"210235","BURITIRANA","MA","10/2019","2526"
"210237","CACHOEIRA GRANDE","MA","10/2019","2057"
"210240","CAJAPIÓ","MA","10/2019","2048"
"210250","CAJARI","MA","10/2019","4373"
"210255","CAMPESTRE DO MARANHÃO","MA","10/2019","1493"
"210260","CÂNDIDO MENDES","MA","10/2019","4008"
"210270","CANTANHEDE","MA","10/2019","3576"
"210275","CAPINZAL DO NORTE","MA","10/2019","2596"
"210280","CAROLINA","MA","10/2019","3109"
"210290","CARUTAPERA","MA","10/2019","5309"
"210300","CAXIAS","MA","10/2019","18646"
"210310","CEDRAL","MA","10/2019","2296"
"210312","CENTRAL DO MARANHÃO","MA","10/2019","1974"
"210315","CENTRO DO GUILHERME","MA","10/2019","2158"
"210317","CENTRO NOVO DO MARANHÃO","MA","10/2019","3196"
"210320","CHAPADINHA","MA","10/2019","14229"
"210325","CIDELÂNDIA","MA","10/2019","2506"
"210330","CODÓ","MA","10/2019","13653"
"210340","COELHO NETO","MA","10/2019","6675"
"210350","COLINAS","MA","10/2019","6833"
"210355","CONCEIÇÃO DO LAGO-AÇU","MA","10/2019","2987"
"210360","COROATÁ","MA","10/2019","9538"
"210370","CURURUPU","MA","10/2019","7120"
"210375","DAVINÓPOLIS","MA","10/2019","1586"
"210380","DOM PEDRO","MA","10/2019","3766"
"210390","DUQUE BACELAR","MA","10/2019","1949"
"210400","ESPERANTINÓPOLIS","MA","10/2019","3247"
"210405","ESTREITO","MA","10/2019","3516"
"210407","FEIRA NOVA DO MARANHÃO","MA","10/2019","1303"
"210408","FERNANDO FALCÃO","MA","10/2019","1934"
"210409","FORMOSA DA SERRA NEGRA","MA","10/2019","2843"
"210410","FORTALEZA DOS NOGUEIRAS","MA","10/2019","2092"
"210420","FORTUNA","MA","10/2019","2908"
"210430","GODOFREDO VIANA","MA","10/2019","1718"
"210440","GONÇALVES DIAS","MA","10/2019","3199"
"210450","GOVERNADOR ARCHER","MA","10/2019","1655"
"210455","GOVERNADOR EDISON LOBÃO","MA","10/2019","2089"
"210460","GOVERNADOR EUGÊNIO BARROS","MA","10/2019","2530"
"210462","GOVERNADOR LUIZ ROCHA","MA","10/2019","1049"
"210465","GOVERNADOR NEWTON BELLO","MA","10/2019","1924"
"210467","GOVERNADOR NUNES FREIRE","MA","10/2019","4137"
"210470","GRAÇA ARANHA","MA","10/2019","1033"
"210480","GRAJAÚ","MA","10/2019","9885"
"210490","GUIMARÃES","MA","10/2019","2536"
"210500","HUMBERTO DE CAMPOS","MA","10/2019","4700"
"210510","ICATU","MA","10/2019","4577"
"210515","IGARAPÉ DO MEIO","MA","10/2019","2703"
"210520","IGARAPÉ GRANDE","MA","10/2019","1817"
"210530","IMPERATRIZ","MA","10/2019","13841"
"210535","ITAIPAVA DO GRAJAÚ","MA","10/2019","2372"
"210540","ITAPECURU MIRIM","MA","10/2019","8708"
"210542","ITINGA DO MARANHÃO","MA","10/2019","3886"
"210545","JATOBÁ","MA","10/2019","1749"
"210547","JENIPAPO DOS VIEIRAS","MA","10/2019","2344"
"210550","JOÃO LISBOA","MA","10/2019","3660"
"210560","JOSELÂNDIA","MA","10/2019","2508"
"210565","JUNCO DO MARANHÃO","MA","10/2019","956"
"210570","LAGO DA PEDRA","MA","10/2019","7833"
"210580","LAGO DO JUNCO","MA","10/2019","1914"
"210590","LAGO VERDE","MA","10/2019","3076"
"210592","LAGOA DO MATO","MA","10/2019","2018"
"210594","LAGO DOS RODRIGUES","MA","10/2019","1372"
"210596","LAGOA GRANDE DO MARANHÃO","MA","10/2019","1736"
"210598","LAJEADO NOVO","MA","10/2019","1433"
"210600","LIMA CAMPOS","MA","10/2019","1866"
"210610","LORETO","MA","10/2019","1857"
"210620","LUÍS DOMINGUES","MA","10/2019","1918"
"210630","MAGALHÃES DE ALMEIDA","MA","10/2019","2138"
"210632","MARACAÇUMÉ","MA","10/2019","3010"
"210635","MARAJÁ DO SENA","MA","10/2019","1386"
"210637","MARANHÃOZINHO","MA","10/2019","1596"
"210640","MATA ROMA","MA","10/2019","3661"
"210650","MATINHA","MA","10/2019","5935"
"210660","MATÕES","MA","10/2019","5793"
"210663","MATÕES DO NORTE","MA","10/2019","1876"
"210667","MILAGRES DO MARANHÃO","MA","10/2019","1524"
"210670","MIRADOR","MA","10/2019","3431"
"210675","MIRANDA DO NORTE","MA","10/2019","3420"
"210680","MIRINZAL","MA","10/2019","2980"
"210690","MONÇÃO","MA","10/2019","5485"
"210700","MONTES ALTOS","MA","10/2019","1619"
"210710","MORROS","MA","10/2019","3658"
"210720","NINA RODRIGUES","MA","10/2019","2304"
"210725","NOVA COLINAS","MA","10/2019","786"
"210730","NOVA IORQUE","MA","10/2019","776"
"210735","NOVA OLINDA DO MARANHÃO","MA","10/2019","3263"
"210740","OLHO DÁGUA DAS CUNHÃS","MA","10/2019","3599"
"210745","OLINDA NOVA DO MARANHÃO","MA","10/2019","3371"
"210750","PAÇO DO LUMIAR","MA","10/2019","13178"
"210760","PALMEIRÂNDIA","MA","10/2019","4417"
"210770","PARAIBANO","MA","10/2019","4524"
"210780","PARNARAMA","MA","10/2019","4929"
"210790","PASSAGEM FRANCA","MA","10/2019","3053"
"210800","PASTOS BONS","MA","10/2019","3605"
"210805","PAULINO NEVES","MA","10/2019","3203"
"210810","PAULO RAMOS","MA","10/2019","3631"
"210820","PEDREIRAS","MA","10/2019","3786"
"210825","PEDRO DO ROSÁRIO","MA","10/2019","5181"
"210830","PENALVA","MA","10/2019","5772"
"210840","PERI MIRIM","MA","10/2019","2460"
"210845","PERITORÓ","MA","10/2019","5042"
"210850","PINDARÉ-MIRIM","MA","10/2019","3852"
"210860","PINHEIRO","MA","10/2019","13143"
"210870","PIO XII","MA","10/2019","4834"
"210880","PIRAPEMAS","MA","10/2019","3204"
"210890","POÇÃO DE PEDRAS","MA","10/2019","2810"
"210900","PORTO FRANCO","MA","10/2019","1698"
"210905","PORTO RICO DO MARANHÃO","MA","10/2019","1447"
"210910","PRESIDENTE DUTRA","MA","10/2019","4121"
"210920","PRESIDENTE JUSCELINO","MA","10/2019","2450"
"210923","PRESIDENTE MÉDICI","MA","10/2019","946"
"210927","PRESIDENTE SARNEY","MA","10/2019","3893"
"210930","PRESIDENTE VARGAS","MA","10/2019","1677"
"210940","PRIMEIRA CRUZ","MA","10/2019","3254"
"210945","RAPOSA","MA","10/2019","4589"
"210950","RIACHÃO","MA","10/2019","2759"
"210955","RIBAMAR FIQUENE","MA","10/2019","962"
"210960","ROSÁRIO","MA","10/2019","5496"
"210970","SAMBAÍBA","MA","10/2019","741"
"210975","SANTA FILOMENA DO MARANHÃO","MA","10/2019","1145"
"210980","SANTA HELENA","MA","10/2019","7736"
"210990","SANTA INÊS","MA","10/2019","8865"
"211000","SANTA LUZIA","MA","10/2019","9396"
"211003","SANTA LUZIA DO PARUÁ","MA","10/2019","3851"
"211010","SANTA QUITÉRIA DO MARANHÃO","MA","10/2019","4858"
"211020","SANTA RITA","MA","10/2019","5484"
"211023","SANTANA DO MARANHÃO","MA","10/2019","1523"
"211027","SANTO AMARO DO MARANHÃO","MA","10/2019","2391"
"211030","SANTO ANTÔNIO DOS LOPES","MA","10/2019","2708"
"211040","SÃO BENEDITO DO RIO PRETO","MA","10/2019","3674"
"211050","SÃO BENTO","MA","10/2019","7102"
"211060","SÃO BERNARDO","MA","10/2019","5357"
"211065","SÃO DOMINGOS DO AZEITÃO","MA","10/2019","1450"
"211070","SÃO DOMINGOS DO MARANHÃO","MA","10/2019","4798"
"211080","SÃO FÉLIX DE BALSAS","MA","10/2019","743"
"211085","SÃO FRANCISCO DO BREJÃO","MA","10/2019","1410"
"211090","SÃO FRANCISCO DO MARANHÃO","MA","10/2019","2511"
"211100","SÃO JOÃO BATISTA","MA","10/2019","5395"
"211102","SÃO JOÃO DO CARÚ","MA","10/2019","2291"
"211105","SÃO JOÃO DO PARAÍSO","MA","10/2019","1441"
"211107","SÃO JOÃO DO SOTER","MA","10/2019","3092"
"211110","SÃO JOÃO DOS PATOS","MA","10/2019","3271"
"211120","SÃO JOSÉ DE RIBAMAR","MA","10/2019","23435"
"211125","SÃO JOSÉ DOS BASÍLIOS","MA","10/2019","1344"
"211130","SÃO LUÍS","MA","10/2019","74972"
"211140","SÃO LUÍS GONZAGA DO MARANHÃO","MA","10/2019","3511"
"211150","SÃO MATEUS DO MARANHÃO","MA","10/2019","6369"
"211153","SÃO PEDRO DA ÁGUA BRANCA","MA","10/2019","1368"
"211157","SÃO PEDRO DOS CRENTES","MA","10/2019","649"
"211160","SÃO RAIMUNDO DAS MANGABEIRAS","MA","10/2019","2166"
"211163","SÃO RAIMUNDO DO DOCA BEZERRA","MA","10/2019","1256"
"211167","SÃO ROBERTO","MA","10/2019","1249"
"211170","SÃO VICENTE FERRER","MA","10/2019","5320"
"211172","SATUBINHA","MA","10/2019","1587"
"211174","SENADOR ALEXANDRE COSTA","MA","10/2019","2208"
"211176","SENADOR LA ROCQUE","MA","10/2019","2492"
"211178","SERRANO DO MARANHÃO","MA","10/2019","3530"
"211180","SÍTIO NOVO","MA","10/2019","3041"
"211190","SUCUPIRA DO NORTE","MA","10/2019","2160"
"211195","SUCUPIRA DO RIACHÃO","MA","10/2019","908"
"211200","TASSO FRAGOSO","MA","10/2019","1120"
"211210","TIMBIRAS","MA","10/2019","4830"
"211220","TIMON","MA","10/2019","20316"
"211223","TRIZIDELA DO VALE","MA","10/2019","3166"
"211227","TUFILÂNDIA","MA","10/2019","1329"
"211230","TUNTUM","MA","10/2019","4831"
"211240","TURIAÇU","MA","10/2019","6682"
"211245","TURILÂNDIA","MA","10/2019","5477"
"211250","TUTÓIA","MA","10/2019","9838"
"211260","URBANO SANTOS","MA","10/2019","6149"
"211270","VARGEM GRANDE","MA","10/2019","7300"
"211280","VIANA","MA","10/2019","8867"
"211285","VILA NOVA DOS MARTÍRIOS","MA","10/2019","1021"
"211290","VITÓRIA DO MEARIM","MA","10/2019","5490"
"211300","VITORINO FREIRE","MA","10/2019","5879"
"211400","ZÉ DOCA","MA","10/2019","6424"
"310010","ABADIA DOS DOURADOS","MG","10/2019","254"
"310020","ABAETÉ","MG","10/2019","500"
"310030","ABRE CAMPO","MG","10/2019","969"
"310040","ACAIACA","MG","10/2019","492"
"310050","AÇUCENA","MG","10/2019","797"
"310060","ÁGUA BOA","MG","10/2019","2187"
"310070","ÁGUA COMPRIDA","MG","10/2019","143"
"310080","AGUANIL","MG","10/2019","218"
"310090","ÁGUAS FORMOSAS","MG","10/2019","2658"
"310100","ÁGUAS VERMELHAS","MG","10/2019","2143"
"310110","AIMORÉS","MG","10/2019","1906"
"310120","AIURUOCA","MG","10/2019","243"
"310130","ALAGOA","MG","10/2019","204"
"310140","ALBERTINA","MG","10/2019","89"
"310150","ALÉM PARAÍBA","MG","10/2019","1838"
"310160","ALFENAS","MG","10/2019","2132"
"310163","ALFREDO VASCONCELOS","MG","10/2019","369"
"310170","ALMENARA","MG","10/2019","4984"
"310180","ALPERCATA","MG","10/2019","793"
"310190","ALPINÓPOLIS","MG","10/2019","551"
"310200","ALTEROSA","MG","10/2019","638"
"310205","ALTO CAPARAÓ","MG","10/2019","501"
"310210","ALTO RIO DOCE","MG","10/2019","1502"
"310220","ALVARENGA","MG","10/2019","627"
"310230","ALVINÓPOLIS","MG","10/2019","1136"
"310240","ALVORADA DE MINAS","MG","10/2019","518"
"310250","AMPARO DO SERRA","MG","10/2019","548"
"310260","ANDRADAS","MG","10/2019","705"
"310270","CACHOEIRA DE PAJEÚ","MG","10/2019","1662"
"310280","ANDRELÂNDIA","MG","10/2019","1074"
"310285","ANGELÂNDIA","MG","10/2019","978"
"310290","ANTÔNIO CARLOS","MG","10/2019","571"
"310300","ANTÔNIO DIAS","MG","10/2019","669"
"310310","ANTÔNIO PRADO DE MINAS","MG","10/2019","110"
"310320","ARAÇAÍ","MG","10/2019","182"
"310330","ARACITABA","MG","10/2019","135"
"310340","ARAÇUAÍ","MG","10/2019","3173"
"310350","ARAGUARI","MG","10/2019","3817"
"310360","ARANTINA","MG","10/2019","228"
"310370","ARAPONGA","MG","10/2019","499"
"310375","ARAPORÃ","MG","10/2019","266"
"310380","ARAPUÁ","MG","10/2019","82"
"310390","ARAÚJOS","MG","10/2019","131"
"310400","ARAXÁ","MG","10/2019","3433"
"310410","ARCEBURGO","MG","10/2019","202"
"310420","ARCOS","MG","10/2019","997"
"310430","AREADO","MG","10/2019","434"
"310440","ARGIRITA","MG","10/2019","229"
"310445","ARICANDUVA","MG","10/2019","676"
"310450","ARINOS","MG","10/2019","2456"
"310460","ASTOLFO DUTRA","MG","10/2019","444"
"310470","ATALÉIA","MG","10/2019","2157"
"310480","AUGUSTO DE LIMA","MG","10/2019","445"
"310490","BAEPENDI","MG","10/2019","1187"
"310500","BALDIM","MG","10/2019","572"
"310510","BAMBUÍ","MG","10/2019","571"
"310520","BANDEIRA","MG","10/2019","560"
"310530","BANDEIRA DO SUL","MG","10/2019","138"
"310540","BARÃO DE COCAIS","MG","10/2019","1411"
"310550","BARÃO DE MONTE ALTO","MG","10/2019","503"
"310560","BARBACENA","MG","10/2019","4189"
"310570","BARRA LONGA","MG","10/2019","567"
"310590","BARROSO","MG","10/2019","1743"
"310600","BELA VISTA DE MINAS","MG","10/2019","583"
"310610","BELMIRO BRAGA","MG","10/2019","173"
"310620","BELO HORIZONTE","MG","10/2019","56536"
"310630","BELO ORIENTE","MG","10/2019","2061"
"310640","BELO VALE","MG","10/2019","396"
"310650","BERILO","MG","10/2019","1015"
"310660","BERTÓPOLIS","MG","10/2019","773"
"310665","BERIZAL","MG","10/2019","857"
"310670","BETIM","MG","10/2019","27323"
"310680","BIAS FORTES","MG","10/2019","446"
"310690","BICAS","MG","10/2019","651"
"310700","BIQUINHAS","MG","10/2019","261"
"310710","BOA ESPERANÇA","MG","10/2019","1212"
"310720","BOCAINA DE MINAS","MG","10/2019","475"
"310730","BOCAIÚVA","MG","10/2019","5472"
"310740","BOM DESPACHO","MG","10/2019","1368"
"310750","BOM JARDIM DE MINAS","MG","10/2019","413"
"310760","BOM JESUS DA PENHA","MG","10/2019","212"
"310770","BOM JESUS DO AMPARO","MG","10/2019","361"
"310780","BOM JESUS DO GALHO","MG","10/2019","2375"
"310790","BOM REPOUSO","MG","10/2019","867"
"310800","BOM SUCESSO","MG","10/2019","406"
"310810","BONFIM","MG","10/2019","579"
"310820","BONFINÓPOLIS DE MINAS","MG","10/2019","271"
"310825","BONITO DE MINAS","MG","10/2019","1449"
"310830","BORDA DA MATA","MG","10/2019","558"
"310840","BOTELHOS","MG","10/2019","545"
"310850","BOTUMIRIM","MG","10/2019","943"
"310855","BRASILÂNDIA DE MINAS","MG","10/2019","1566"
"310860","BRASÍLIA DE MINAS","MG","10/2019","3554"
"310870","BRÁS PIRES","MG","10/2019","514"
"310880","BRAÚNAS","MG","10/2019","488"
"310890","BRAZÓPOLIS","MG","10/2019","404"
"310900","BRUMADINHO","MG","10/2019","1204"
"310910","BUENO BRANDÃO","MG","10/2019","276"
"310920","BUENÓPOLIS","MG","10/2019","828"
"310925","BUGRE","MG","10/2019","479"
"310930","BURITIS","MG","10/2019","2366"
"310940","BURITIZEIRO","MG","10/2019","3429"
"310945","CABECEIRA GRANDE","MG","10/2019","561"
"310950","CABO VERDE","MG","10/2019","607"
"310960","CACHOEIRA DA PRATA","MG","10/2019","163"
"310970","CACHOEIRA DE MINAS","MG","10/2019","283"
"310980","CACHOEIRA DOURADA","MG","10/2019","98"
"310990","CAETANÓPOLIS","MG","10/2019","505"
"311000","CAETÉ","MG","10/2019","1535"
"311010","CAIANA","MG","10/2019","407"
"311020","CAJURI","MG","10/2019","324"
"311030","CALDAS","MG","10/2019","515"
"311040","CAMACHO","MG","10/2019","113"
"311050","CAMANDUCAIA","MG","10/2019","966"
"311060","CAMBUÍ","MG","10/2019","839"
"311070","CAMBUQUIRA","MG","10/2019","755"
"311080","CAMPANÁRIO","MG","10/2019","603"
"311090","CAMPANHA","MG","10/2019","716"
"311100","CAMPESTRE","MG","10/2019","403"
"311110","CAMPINA VERDE","MG","10/2019","898"
"311115","CAMPO AZUL","MG","10/2019","793"
"311120","CAMPO BELO","MG","10/2019","1919"
"311130","CAMPO DO MEIO","MG","10/2019","764"
"311140","CAMPO FLORIDO","MG","10/2019","606"
"311150","CAMPOS ALTOS","MG","10/2019","680"
"311160","CAMPOS GERAIS","MG","10/2019","1054"
"311170","CANAÃ","MG","10/2019","423"
"311180","CANÁPOLIS","MG","10/2019","398"
"311190","CANA VERDE","MG","10/2019","333"
"311200","CANDEIAS","MG","10/2019","541"
"311205","CANTAGALO","MG","10/2019","422"
"311210","CAPARAÓ","MG","10/2019","633"
"311220","CAPELA NOVA","MG","10/2019","355"
"311230","CAPELINHA","MG","10/2019","2632"
"311240","CAPETINGA","MG","10/2019","377"
"311250","CAPIM BRANCO","MG","10/2019","332"
"311260","CAPINÓPOLIS","MG","10/2019","713"
"311265","CAPITÃO ANDRADE","MG","10/2019","629"
"311270","CAPITÃO ENÉAS","MG","10/2019","1813"
"311280","CAPITÓLIO","MG","10/2019","146"
"311290","CAPUTIRA","MG","10/2019","1179"
"311300","CARAÍ","MG","10/2019","2890"
"311310","CARANAÍBA","MG","10/2019","268"
"311320","CARANDAÍ","MG","10/2019","1358"
"311330","CARANGOLA","MG","10/2019","2184"
"311340","CARATINGA","MG","10/2019","3462"
"311350","CARBONITA","MG","10/2019","838"
"311360","CAREAÇU","MG","10/2019","355"
"311370","CARLOS CHAGAS","MG","10/2019","1953"
"311380","CARMÉSIA","MG","10/2019","149"
"311390","CARMO DA CACHOEIRA","MG","10/2019","757"
"311400","CARMO DA MATA","MG","10/2019","433"
"311410","CARMO DE MINAS","MG","10/2019","792"
"311420","CARMO DO CAJURU","MG","10/2019","309"
"311430","CARMO DO PARANAÍBA","MG","10/2019","919"
"311440","CARMO DO RIO CLARO","MG","10/2019","792"
"311450","CARMÓPOLIS DE MINAS","MG","10/2019","540"
"311455","CARNEIRINHO","MG","10/2019","290"
"311460","CARRANCAS","MG","10/2019","149"
"311470","CARVALHÓPOLIS","MG","10/2019","118"
"311480","CARVALHOS","MG","10/2019","491"
"311490","CASA GRANDE","MG","10/2019","99"
"311500","CASCALHO RICO","MG","10/2019","154"
"311510","CÁSSIA","MG","10/2019","900"
"311520","CONCEIÇÃO DA BARRA DE MINAS","MG","10/2019","317"
"311530","CATAGUASES","MG","10/2019","2079"
"311535","CATAS ALTAS","MG","10/2019","189"
"311540","CATAS ALTAS DA NORUEGA","MG","10/2019","313"
"311545","CATUJI","MG","10/2019","1267"
"311547","CATUTI","MG","10/2019","861"
"311550","CAXAMBU","MG","10/2019","1047"
"311560","CEDRO DO ABAETÉ","MG","10/2019","92"
"311570","CENTRAL DE MINAS","MG","10/2019","894"
